"filename", "language", "TypeScript", "JSON", "YAML", "Markdown", "JSON with Comments", "Shell Script", "Skill", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/types/mcp.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 94
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/types/prompt.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/types/skill.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/utils/citationParser.ts", "TypeScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 27, 234
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/utils/filePreview.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/utils/imageUtils.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 65
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/utils/officePreview.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 64
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/src/vite-env.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 0, 36
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/tsconfig.node.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/vite.config.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/buyangnie/Documents/GitHub/ops-factory/web-app/vitest.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"Total", "-", 4802, 10350, 407, 1742, 88, 497, 41, 6133, 4392, 17, 1084, 2889, 32442
